page;category;subcategory;food;sighi_score;histamine_marker;other_amines_marker;liberator_marker;inhibitor_marker;uncertain_marker;other_marker;notes
14;Potravinová aditiva;;glutaman vápenatý, glutamát vápenatý, E623;2;;;L;;;;
14;Potravinová aditiva;;glutamany, glutamáty, E620-E625;2;;;L;;;;
14;Potravinová aditiva;;gluten, lepek;1;;;;;liberator?;;Tolerovaný v mnoha případech. U někoho může způsobovat nadýmání.
14;Potravinová aditiva;;glycerol, E422;0;;;;;;;
14;Potravinová aditiva;;guma guar, E412;1;;;L;;;;
14;Potravinová aditiva;;guma karaya, E416;1;;;L;;;;
14;Potravinová aditiva;;hexamethylentetraamin, E239;2;;;L;;;;
14;Potravinová aditiva;;hexamin, E239;2;;;L;;;;
14;Potravinová aditiva;;hliník, E173;?;;;;;;;Nezdravý z jiných důvodů.
14;Potravinová aditiva;;hněď FK, E154;2;;;L;;;;
14;Potravinová aditiva;;hněď HT, E155;2;;;L;;;;
14;Potravinová aditiva;;hydrogensiřičitan draselný, E228);2;;;L;;;;
14;Potravinová aditiva;;hydrogensiřičitan sodný, E222;2;;;L;;;;
14;Potravinová aditiva;;hydrogensiřičitan vápenatý, E227;2;;;L;;;;
14;Potravinová aditiva;;hydrogenuhličitan sodný, E500(ii);0;;;;;;;
14;Potravinová aditiva;;hydroxypropylcelulóza, E463;0;;;;;;;
14;Potravinová aditiva;;indigotin, Cl potravinářská modř 1, E132;2;;;L;;;;
14;Potravinová aditiva;;invertasa, E1103;0;;;;;;;
14;Potravinová aditiva;;jednoduchý karamel, E150a;0;;;;;;;
14;Potravinová aditiva;;kanthaxanthin, E161g;?;;;;;;;
14;Potravinová aditiva;;kapsanthin, kapsorubin, E160c;0;;;;;;;
14;Potravinová aditiva;;karagenany, E407, E407a;2;;;L;;;;
14;Potravinová aditiva;;karamel, E150a;0;;;;;;;
14;Potravinová aditiva;;karboxymethylcelulóza, E466);?;;;;;;;
14;Potravinová aditiva;;karmoisin, E122;2;;;L;;;;
14;Potravinová aditiva;;karobový prášek;2;;;;;"amines?; liberator?";;Karob je sušený lusk, ne semínka.
14;Potravinová aditiva;;karoteny, E160a;0;;;L;;;;
14;Potravinová aditiva;;karubin, E410;2;;;L;;;;Zahušťovadlo vyráběné ze semen karobu.
14;Potravinová aditiva;;kaustický sulfitový karamel, E150b;0;;;;;;;Pravděpodobně méně tolerovaný než E150.
14;Potravinová aditiva;;košenilová červeň A, E124;2;;;L;;;;
14;Potravinová aditiva;;kurkumin, E100;0;;;;;;;
14;Potravinová aditiva;;kyselina alginová, E400;2;;;L;;;;
14;Potravinová aditiva;;kyselina benzoová, E210;2;;;L;;;;
14;Potravinová aditiva;;kyselina boritá, E284;?;;;;;;;Velmi jedovatý, toxická látka pro reprodukční systém.
14;Potravinová aditiva;;kyselina chlorovodíková,E507;0;;;;;;;
14;Potravinová aditiva;;kyselina citrónová, E330;1;;;;;;;K diskuzi. Vyrábí se z plísní, ne z citrusů.
14;Potravinová aditiva;;kyselina fumarová, E297;?;;;;;;;
14;Potravinová aditiva;;kyselina guanylová, E626;0;;;;;;;
14;Potravinová aditiva;;kyselina jablečná, E296;0;;;;;;;
14;Potravinová aditiva;;kyselina karmínová, karmíny, E120;2;;;L;;;;
14;Potravinová aditiva;;kyselina l-askorbová, E300;0;;;;B;;;Snižuje hladiny histaminu, ale zřejmě je mírný inhibitor DAO. Vhodné při MCAS, nevhodné při HIT?
14;Potravinová aditiva;;kyselina L-glutamová, E620;2;;;L;;;;
14;Potravinová aditiva;;kyselina mléčná, E270;0;;;;;;;Chemicky vyráběná kyselina mléčná není problém, produkt bakteriálního mléčného kvašení může být problém.
15;Potravinová aditiva;;L-glutaman sodný, L-glutamát sodný, E621;2;;;L;;;;
15;Potravinová aditiva;;lutein, E161b;?;;;;;;;
15;Potravinová aditiva;;lykopen, E160d;?;;;;;;;
15;Potravinová aditiva;;lysozym, E1105;?;;;;;;;
15;Potravinová aditiva;;mannitol, E421;0;;;;;;;
15;Potravinová aditiva;;měďnaté komplexy chlorofylů a chlorofylinů, E141;0;;;;;;;
15;Potravinová aditiva;;methenamin, hexamin, E239;2;;;L;;;;
15;Potravinová aditiva;;methylcelulóza, E461;0;;;;;;;Větší množství může mít projímavé účinky.
15;Potravinová aditiva;;methylparaben, methylparahydroxybenzoát, E218, E219;2;;;L;;;;
15;Potravinová aditiva;;mléčnan draselný, E326;0;;;;;;;
15;Potravinová aditiva;;mléčnan sodný, E325;0;;;;;;;
15;Potravinová aditiva;;mléčnan vápenatý, E327;0;;;;;;;
15;Potravinová aditiva;;natamycin, E235;?;;;;;;;
15;Potravinová aditiva;;nisin, E234;?;;;;;;;
15;Potravinová aditiva;;octan draselný, E261;0;;;;;;;
15;Potravinová aditiva;;octan sodný, E262;0;;;;;;;
15;Potravinová aditiva;;octan vápenatý, E263;0;;;;;;;
15;Potravinová aditiva;;octan zinečnatý, E650;0;;;;;;;
15;Potravinová aditiva;;oktylgallát, E311;2;;;L;;;;
15;Potravinová aditiva;;orthofenylfenol, E231;2;;;L;;;;
15;Potravinová aditiva;;orthofenylfenolát sodný, E232;2;;;;;;;
15;Potravinová aditiva;;oxid siřičitý, E220;2;;;L;;;;
15;Potravinová aditiva;;oxid titaničitý, E171;0;;;;;liberator?;;Pacienti se syndromem mnohočetné citlivosti na chemické látky netolerují.
15;Potravinová aditiva;;oxid uhličitý, E290;0;;;;;;;Způsobuje pouze krátkodobé přechodné symptomy, pokud je konzumace ve větší míře.
15;Potravinová aditiva;;oxidy a hydroxidy železa, E172;0;;;;;;;
15;Potravinová aditiva;;paprikový extrakt, kapsanthin, kapsorubin, E160c;0;;;;;;;
15;Potravinová aditiva;;parabeny, E214-E219;2;;;L;;;;
15;Potravinová aditiva;;patentní modř V, E131;2;;;L;;;;
15;Potravinová aditiva;;pektin, E440;0;;;;;;;
15;Potravinová aditiva;;perlivé nápoje;1;;;L;;;;Pouze krátkodobý efekt, který rychle vymizí.
15;Potravinová aditiva;;polydextrosy, E1200;?;;;;;;;Vě větších množstvích může mít projímavé účinky.
15;Potravinová aditiva;;polyfosforečnany ( sodný, draselný a vápenatý), E452;2;;;;;liberator?;;
15;Potravinová aditiva;;polyvinylpolypyrrolidon, PVPP, E1202;1;;;;;liberator?;;
15;Potravinová aditiva;;polyvinylpyrrolidon, PVP, E1201;1;;;;;liberator?;;
15;Potravinová aditiva;;ponceau 4R, E124;2;;;L;;;;
15;Potravinová aditiva;;povidon, polyvinylpyrrolidon, PVP, E1201;1;;;;;liberator?;;
15;Potravinová aditiva;;propionan draselný, E283;?;;;;;;;
15;Potravinová aditiva;;propionan sodný, E281;?;;;;;;;
15;Potravinová aditiva;;propionan vápenatý, E282;?;;;;;;;
15;Potravinová aditiva;;propylenglykolalginát, E405;2;;;L;;;;
15;Potravinová aditiva;;riboflavin-5'-fosfát, E101a;1;;;L;;;;
15;Potravinová aditiva;;siřičitan draselný, E225;2;;;L;;;;
15;Potravinová aditiva;;siřičitan sodný, E221;2;;;L;;;;
15;Potravinová aditiva;;siřičitan vápenatý, E226;2;;;L;;;;
15;Potravinová aditiva;;siřičitany, E220 - E228;2;;;L;;;;
15;Potravinová aditiva;;škrob;0;;;;;;;
15;Potravinová aditiva;;sorban draselný, sorbát draselný, E202;2;;;L;;;;
15;Potravinová aditiva;;sorban vápenatý, sorbát vápenatý, E203;2;;;L;;;;
15;Potravinová aditiva;;sorbany, sorbáty (soli kyseliny sorbové): sorban draselný E202, sorban vápenatý E203;2;;;L;;;;
15;Potravinová aditiva;;steviol-glykosidy, E960;0;;;;;;;
15;Potravinová aditiva;;stříbro, E174;?;;;;;;;
15;Potravinová aditiva;;sukralóza, sukralosa, E955;0;;;;;;;
15;Potravinová aditiva;;tartrazin, E102;3;;;L;;;;
15;Potravinová aditiva;;terciální butylhydrochinon (TBHQ), E319;?;;;;;;;
15;Potravinová aditiva;;tetraboritan sodný, borax, E285;?;;;;;;;Velmi jedovatý, je povolen pouze v kaviáru.
15;Potravinová aditiva;;uhličitan amonný, E503;0;;;;;;;
16;Potravinová aditiva;;vinany sodné, E335;0;;;;;;;viz. Vinný kámen.
16;Potravinová aditiva;;vinný kámen, E336;0;;;;;;;
16;Potravinová aditiva;;"vitamín C, E300;";0;;;;B;;;Snižuje hladiny histaminu, ale zřejmě je mírný inhibitor DAO. Vhodné při MCAS, nevhodné při HIT?
16;Potravinová aditiva;;xanthan, E415;0;;;;;;;
16;Potravinová aditiva;;želatina, E441;1;;;;;"histamin?; liberator?";;Sporné, může být dobře tolerována.
16;Potravinová aditiva;;zeleň S, E142;?;;;;;liberator?;;
16;Potravinová aditiva;;zlato, E175;0;;;;;;;
16;Potravinová aditiva;;žluť SY, Cl potravinářská žluť 3, E110;3;;;L;;;;
16;Vitamíny, minerály, stopové prvky;;jód;3;;;L;;;;
16;Vitamíny, minerály, stopové prvky;;jodid draselný (aditivum v soli);3;;;L;;;;
16;Vitamíny, minerály, stopové prvky;;jodizovaná stolní sůl;2;;;L;;;;
16;Vitamíny, minerály, stopové prvky;;kyselina folová, vitamín B9, folát;2;;;L;;;;K diskuzi. Jiné jméno: pteroyl-L-glutamová kyselina (podobné kyselině glutamové/ glutamátu?)
16;Vitamíny, minerály, stopové prvky;;theobromin;2;;;;B;;;
16;Vitamíny, minerály, stopové prvky;;vitamín B9, folát, kyselina folová;2;;;L;;;;K diskuzi. Jiné jméno: pteroyl-L-glutamová kyselina (podobné kyselině glutamové/ glutamátu?)
16;Vitamíny, minerály, stopové prvky;Směsi;pendrek;2;;;L;;;;
16;Vitamíny, minerály, stopové prvky;Směsi;marcipán;1;;;;;;;Malé množství dobře tolerováno, pokud je bez nepovolených aditiv.
16;Vitamíny, minerály, stopové prvky;Směsi;čokoláda mléčná, hořká;2;;A;;;;;tyramin, fenylethylamin
16;Vitamíny, minerály, stopové prvky;Směsi;čokoláda bílá;1;;;;;amines?;;Většinou dobře tolerována.
16;Vitamíny, minerály, stopové prvky;Směsi;hořčice;2;H;;L;;;;Připravená z hořčičného semínka, octu atd.
16;Vitamíny, minerály, stopové prvky;Směsi;tofu;2;;;;;;;
